sub_id,type,current_response,prev_response,mean_rt,pc
1.0,t,down,down,667.830725386,0.977777777778
2.0,t,down,down,754.454069346,0.975
3.0,t,down,down,721.095104853,0.98
4.0,t,down,down,629.510216441,1.0
5.0,t,down,down,669.03491433,0.983050847458
6.0,t,down,down,700.556217738,0.945454545455
7.0,t,down,down,599.078489582,0.901408450704
8.0,t,down,down,703.763968836,1.0
9.0,t,down,down,686.461749243,0.933333333333
10.0,t,down,down,698.696226824,0.914893617021
11.0,t,down,down,610.492334432,0.960784313725
12.0,t,down,down,604.706906766,0.883333333333
13.0,t,down,down,572.719673143,0.950819672131
14.0,t,down,down,503.246170693,0.925373134328
15.0,t,down,down,708.100577913,0.983050847458
16.0,t,down,down,667.572711494,0.979166666667
17.0,t,down,down,786.064166316,0.965517241379
18.0,t,down,down,601.35109896,0.95
