sub_id,type,congruency,mean_rt,pc
1.0,t,incong_per_incong_resp,713.063923979,1.0
2.0,t,incong_per_incong_resp,715.906990656,1.0
3.0,t,incong_per_incong_resp,767.687939947,1.0
4.0,t,incong_per_incong_resp,624.442411495,1.0
5.0,t,incong_per_incong_resp,701.650284398,1.0
6.0,t,incong_per_incong_resp,731.855536709,1.0
7.0,t,incong_per_incong_resp,636.668196769,1.0
8.0,t,incong_per_incong_resp,675.565320159,1.0
9.0,t,incong_per_incong_resp,689.213259056,1.0
10.0,t,incong_per_incong_resp,797.747235644,1.0
11.0,t,incong_per_incong_resp,638.501123653,1.0
12.0,t,incong_per_incong_resp,647.013889428,1.0
13.0,t,incong_per_incong_resp,587.534457433,1.0
14.0,t,incong_per_incong_resp,536.790101762,1.0
15.0,t,incong_per_incong_resp,708.523511583,1.0
16.0,t,incong_per_incong_resp,636.955421479,1.0
