sub_id,type,trial_type,current_response,prev_trial_type,prev_response,mean_rt,pc
1.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,872.567289658,1.0
2.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,741.886382294,1.0
3.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,,
4.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,613.495072652,1.0
5.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,609.453409544,1.0
6.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,896.261656043,1.0
7.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,578.065006635,1.0
8.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,803.629910566,1.0
9.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,899.802641721,1.0
10.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,950.062753409,1.0
11.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,714.245931685,1.0
12.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,684.054535529,1.0
13.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,,
14.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,507.277447292,1.0
15.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,716.058287893,1.0
16.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,603.573697046,1.0
17.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,924.429081491,1.0
18.0,t,incong_per_incong_resp,down,incong_per_incong_resp,down,595.705616418,1.0
