sub_id,type,trial_type,current_response,prev_response,mean_rt,pc
1.0,t,incong_per_cong_resp,down,down,698.438113554,0.714285714286
2.0,t,incong_per_cong_resp,down,down,770.854626016,0.875
3.0,t,incong_per_cong_resp,down,down,768.785853797,1.0
4.0,t,incong_per_cong_resp,down,down,620.875742931,1.0
5.0,t,incong_per_cong_resp,down,down,656.138379425,1.0
6.0,t,incong_per_cong_resp,down,down,705.376475564,0.857142857143
7.0,t,incong_per_cong_resp,down,down,586.385155852,1.0
8.0,t,incong_per_cong_resp,down,down,721.184682017,0.9
9.0,t,incong_per_cong_resp,down,down,697.425197201,0.666666666667
10.0,t,incong_per_cong_resp,down,down,625.83907675,0.8
11.0,t,incong_per_cong_resp,down,down,607.774715935,0.875
12.0,t,incong_per_cong_resp,down,down,548.673950013,1.0
13.0,t,incong_per_cong_resp,down,down,625.294036273,1.0
14.0,t,incong_per_cong_resp,down,down,493.816249587,1.0
15.0,t,incong_per_cong_resp,down,down,660.536996853,1.0
16.0,t,incong_per_cong_resp,down,down,690.338238564,1.0
17.0,t,incong_per_cong_resp,down,down,867.211609361,1.0
18.0,t,incong_per_cong_resp,down,down,593.312243944,1.0
