sub_id,type,trial_type,current_response,prev_trial_type,prev_response,mean_rt,pc
1.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,732.031728648,0.666666666667
2.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,790.586017711,1.0
3.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,887.458772447,1.0
4.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,616.283941737,1.0
5.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,610.105752514,1.0
6.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,672.251058806,1.0
7.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,486.670126668,1.0
8.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,,
9.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,718.572722684,1.0
10.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,569.42885867,1.0
11.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,591.471032273,1.0
12.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,,
13.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,,
14.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,486.724906148,1.0
15.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,609.026667972,1.0
16.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,677.322834646,1.0
17.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,879.804074492,1.0
18.0,t,incong_per_cong_resp,down,incong_per_cong_resp,down,554.287329178,1.0
