sub_id,type,current_response,prev_response,mean_rt,pc
1.0,t,different_response,different_response,846.122034589,1.0
2.0,t,different_response,different_response,670.714739641,1.0
3.0,t,different_response,different_response,784.691419234,1.0
4.0,t,different_response,different_response,654.223124205,1.0
5.0,t,different_response,different_response,698.229768085,1.0
6.0,t,different_response,different_response,806.295459795,1.0
7.0,t,different_response,different_response,573.930753552,1.0
8.0,t,different_response,different_response,714.433780784,1.0
9.0,t,different_response,different_response,967.051767149,1.0
10.0,t,different_response,different_response,823.404973106,1.0
11.0,t,different_response,different_response,681.771719725,1.0
12.0,t,different_response,different_response,633.723412168,1.0
13.0,t,different_response,different_response,571.818855285,1.0
14.0,t,different_response,different_response,527.06876136,1.0
15.0,t,different_response,different_response,698.392435466,1.0
16.0,t,different_response,different_response,648.874875653,1.0
17.0,t,different_response,different_response,892.265827569,1.0
18.0,t,different_response,different_response,638.600632111,1.0
